cliente_id,idade,genero,plano,valor_mensal,tempo_assinatura_meses,num_dispositivos,horas_visualizacao_semana,num_reclamacoes_6m,atrasos_pagamento_6m,usa_suporte,satisfacao_score,cancelou
CLI00001,54,Feminino,Padrão,36.81,19,2,9.5,0,0,1,3.6,0
CLI00002,67,Feminino,Padrão,35.93,7,4,3.6,1,1,0,8.9,0
CLI00003,44,Feminino,Padrão,36.35,16,2,7.5,0,0,0,8.4,0
CLI00004,30,Masculino,Padrão,35.93,5,3,6.3,1,3,0,3.0,1
CLI00005,58,Masculino,Básico,18.62,2,4,7.4,0,0,1,9.6,0
CLI00006,23,Masculino,Premium,55.76,69,6,3.4,0,1,0,7.2,0
CLI00007,36,Masculino,Premium,56.5,3,4,3.9,0,2,0,7.8,0
CLI00008,54,Masculino,Padrão,36.41,63,1,6.1,0,1,0,5.3,0
CLI00009,34,Masculino,Básico,22.28,53,3,2.2,1,0,1,9.6,0
CLI00010,38,Feminino,Padrão,36.32,23,4,8.9,2,0,1,4.6,0
CLI00011,26,Feminino,Básico,20.6,16,3,3.7,0,1,1,8.7,0
CLI00012,26,Feminino,Básico,22.04,13,4,2.5,2,0,1,8.6,0
CLI00013,39,Feminino,Básico,19.85,29,3,12.2,0,0,0,5.1,0
CLI00014,68,Masculino,Padrão,33.14,5,1,6.8,0,1,0,10.0,0
CLI00015,51,Masculino,Premium,54.57,9,3,4.9,0,2,0,7.5,0
CLI00016,55,Feminino,Padrão,33.41,14,2,8.0,1,0,0,8.3,0
CLI00017,39,Masculino,Padrão,33.55,8,3,3.2,0,2,1,3.9,1
CLI00018,18,Feminino,Padrão,34.61,8,3,3.1,1,0,1,10.0,1
CLI00019,37,Feminino,Básico,18.32,6,5,3.8,0,1,0,4.6,0
CLI00020,68,Feminino,Padrão,34.28,12,1,13.8,0,0,0,9.0,0
CLI00021,17,Masculino,Premium,51.11,27,3,13.1,2,1,1,5.0,0
CLI00022,39,Feminino,Básico,20.33,4,1,2.1,0,1,0,5.8,1
CLI00023,59,Feminino,Premium,54.9,39,1,19.0,0,1,0,8.6,0
CLI00024,45,Feminino,Padrão,33.27,17,2,6.4,0,0,0,9.1,0
CLI00025,53,Masculino,Padrão,36.22,25,3,8.8,1,1,0,4.5,0
CLI00026,17,Masculino,Padrão,36.78,12,1,3.7,0,0,0,9.2,0
CLI00027,36,Feminino,Padrão,31.68,22,2,6.6,1,1,0,9.1,0
CLI00028,48,Masculino,Premium,53.37,1,5,2.5,2,1,0,5.1,1
CLI00029,27,Masculino,Premium,53.36,24,4,3.5,1,0,1,10.0,0
CLI00030,37,Masculino,Padrão,33.02,1,5,11.5,0,1,0,4.1,1
CLI00031,59,Masculino,Básico,21.56,31,3,11.7,2,0,0,5.8,0
CLI00032,40,Masculino,Padrão,34.51,68,3,9.1,1,0,1,8.0,0
CLI00033,64,Masculino,Premium,54.37,5,3,4.7,1,1,0,5.3,0
CLI00034,42,Masculino,Básico,15.89,4,2,2.1,1,0,0,7.5,0
CLI00035,57,Masculino,Padrão,36.17,21,2,14.9,0,0,0,7.5,0
CLI00036,43,Masculino,Padrão,32.42,5,2,12.3,0,0,0,6.6,0
CLI00037,31,Masculino,Padrão,35.02,29,2,1.1,0,0,0,8.7,1
CLI00038,30,Feminino,Básico,20.45,2,4,11.8,1,0,0,6.5,1
CLI00039,62,Feminino,Padrão,37.62,2,3,4.9,1,0,0,7.5,0
CLI00040,66,Masculino,Premium,52.28,55,3,10.5,2,0,0,9.3,0
CLI00041,59,Feminino,Básico,13.86,16,3,1.7,1,0,0,8.6,0
CLI00042,67,Feminino,Básico,20.27,27,1,3.8,2,1,0,8.6,0
CLI00043,18,Masculino,Premium,58.5,6,2,7.0,1,1,0,4.7,1
CLI00044,52,Masculino,Básico,22.38,16,5,19.5,0,0,1,8.0,0
CLI00045,66,Masculino,Premium,55.32,13,3,7.0,1,1,0,5.2,0
CLI00046,22,Feminino,Padrão,33.92,13,5,13.5,1,2,0,4.4,0
CLI00047,36,Feminino,Básico,21.51,17,5,7.7,0,1,0,6.9,0
CLI00048,24,Masculino,Premium,52.95,12,3,7.5,0,0,0,5.2,0
CLI00049,54,Masculino,Padrão,35.85,8,2,9.5,0,1,0,8.6,0
CLI00050,33,Masculino,Padrão,35.91,5,4,6.3,1,0,1,8.6,0
CLI00051,19,Feminino,Padrão,37.02,21,4,11.3,0,0,0,3.2,0
CLI00052,40,Feminino,Padrão,40.42,4,2,2.6,0,1,0,5.3,1
CLI00053,29,Feminino,Básico,20.68,17,2,6.3,0,1,0,4.1,1
CLI00054,65,Feminino,Padrão,33.88,4,5,20.6,1,0,0,6.1,0
CLI00055,24,Masculino,Premium,54.85,14,2,13.8,2,1,0,7.9,1
CLI00056,41,Masculino,Básico,16.36,20,5,8.2,1,1,0,6.5,0
CLI00057,68,Masculino,Padrão,33.51,4,1,12.6,0,0,0,5.8,0
CLI00058,17,Masculino,Básico,19.08,1,4,17.2,2,0,0,9.6,0
CLI00059,35,Feminino,Premium,53.85,2,4,0.9,1,1,0,2.4,0
CLI00060,43,Feminino,Básico,20.2,14,4,5.3,0,1,0,9.5,0
CLI00061,62,Masculino,Premium,53.26,27,3,3.8,1,0,0,5.9,0
CLI00062,22,Masculino,Padrão,37.14,1,2,1.9,0,0,0,6.8,1
CLI00063,59,Feminino,Básico,19.9,19,1,22.5,1,2,0,5.9,0
CLI00064,23,Masculino,Básico,19.88,6,3,9.8,0,0,0,10.0,0
CLI00065,62,Feminino,Básico,19.24,10,3,12.3,2,0,0,4.5,0
CLI00066,50,Masculino,Padrão,35.21,38,3,4.0,0,0,0,7.0,0
CLI00067,29,Masculino,Básico,21.55,6,4,5.2,0,1,0,8.1,1
CLI00068,32,Masculino,Premium,53.17,9,4,6.5,1,0,1,3.8,0
CLI00069,51,Masculino,Padrão,33.58,1,2,8.6,3,0,1,5.2,1
CLI00070,65,Masculino,Básico,19.29,2,3,11.1,1,0,1,6.7,0
CLI00071,55,Masculino,Padrão,32.21,5,2,10.6,0,0,1,5.2,0
CLI00072,19,Masculino,Padrão,33.26,1,3,5.5,0,1,0,5.4,1
CLI00073,17,Feminino,Básico,18.95,14,1,17.6,0,2,0,6.3,0
CLI00074,21,Feminino,Básico,21.65,8,2,15.4,1,0,0,8.3,0
CLI00075,69,Feminino,Básico,20.43,12,2,8.0,0,0,0,6.3,1
CLI00076,57,Feminino,Padrão,35.29,3,3,6.7,1,1,1,9.2,0
CLI00077,19,Feminino,Padrão,36.6,5,2,5.2,1,0,0,5.0,0
CLI00078,69,Masculino,Padrão,34.63,16,2,8.7,0,0,1,4.5,0
CLI00079,44,Masculino,Premium,55.68,48,3,14.9,1,0,0,10.0,0
CLI00080,33,Feminino,Premium,54.69,1,5,6.8,1,0,1,5.7,1
CLI00081,41,Masculino,Padrão,35.43,31,1,4.2,0,0,0,4.4,0
CLI00082,59,Feminino,Premium,53.73,13,2,6.7,0,2,0,3.5,1
CLI00083,49,Feminino,Básico,15.02,12,5,8.1,0,0,0,9.2,0
